NOME,METRAGEM_TOTAL,VOLUME_TOTAL,DIAMETRO_POND,DIAMETRO_MEDIO,METRAGEM_MEDIA,VOLUME_MEDIO,DIAMETRO_STD,METRAGEM_STD,VOLUME_STD,DIAMETRO_MIN,METRAGEM_MIN,VOLUME_MIN,DIAMETRO_MAX,METRAGEM_MAX,VOLUME_MAX,DIAMETRO_RANGE,VOLUME_RANGE,METRAGEM_RANGE,TIPO,LDA,NFASES,FORMATO
001L7P,3927.0,80260.60887290144,20.438148427018447,4.7625,654.5,13376.768145483575,2.6426988099289717,646.3543145984252,18338.111862873706,2.159,0.0,0.0,9.144,1533.0,46379.13824478561,6.985,46379.13824478561,1533.0,VERTICAL,2140.0,6,546321
004E6L,1983.0,15078.293971574136,7.603779108206826,3.1115,1983.0,15078.293971574136,0.0,0.0,0.0,3.1115,1983.0,15078.293971574136,3.1115,1983.0,15078.293971574136,0.0,0.0,0.0,HORIZONTAL,1034.0,1,1
0056I8,1118.0,19856.599337133193,17.76082230512808,6.7945,559.0,9928.299668566597,3.3226947647955867,719.8347032479054,9397.21606525194,4.445,50.0,3283.4644645517856,9.144,1068.0,16573.13487258141,4.699,13289.670408029624,1018.0,VERTICAL,1195.0,2,21
0089FG,1841.0,23952.870101983528,13.01079310265265,4.09575,920.5,11976.435050991764,1.391939698765719,190.21172413918129,5592.434123171432,3.1115,786.0,8021.986959158201,5.08,1055.0,15930.883142825327,1.9685000000000001,7908.896183667126,269.0,DIRECIONAL,1723.0,2,12
00DL2O,1078.0,3946.516536324815,3.6609615364794204,2.159,1078.0,3946.516536324815,0.0,0.0,0.0,2.159,1078.0,3946.516536324815,2.159,1078.0,3946.516536324815,0.0,0.0,0.0,HORIZONTAL,1315.0,1,1
00OCZ3,3288.0,54034.96571186098,16.4339920048239,5.0927,657.6,10806.993142372197,2.812842148077279,438.81522307230864,9822.321681762443,2.159,63.0,2463.82711405065,9.144,1299.0,22812.781440935905,6.985,20348.954326885254,1236.0,VERTICAL,2270.0,5,54321
00W800,692.0,5261.815142879123,7.603779108206826,3.1115,692.0,5261.815142879123,0.0,0.0,0.0,3.1115,692.0,5261.815142879123,3.1115,692.0,5261.815142879123,0.0,0.0,0.0,HORIZONTAL,1357.0,1,1
00WI6A,331.0,5136.430377176448,15.517916547360871,4.445,331.0,5136.430377176448,0.0,0.0,0.0,4.445,331.0,5136.430377176448,4.445,331.0,5136.430377176448,0.0,0.0,0.0,DIRECIONAL,0.0,1,1
00X532,3768.0,59123.83209135889,15.691038240806499,4.561416666666666,628.0,9853.972015226482,1.8025128686549414,522.8908107817539,9095.158090331339,2.159,42.0,739.514230368843,6.604,1285.0,21785.17867332618,4.445,21045.664442957335,1243.0,DIRECIONAL,81.0,6,652413
00ZJQC,302.0,1105.610384016785,3.660961536479421,2.159,302.0,1105.610384016785,0.0,0.0,0.0,2.159,302.0,1105.610384016785,2.159,302.0,1105.610384016785,0.0,0.0,0.0,0,0.0,1,1
00ZRZ8,467.0,3550.9648435325876,7.603779108206826,2.63525,233.5,1775.4824217662938,0.6735192090801868,330.2188668141177,2510.9113206169204,2.159,0.0,0.0,3.1115,467.0,3550.9648435325876,0.9525000000000001,3550.9648435325876,467.0,HORIZONTAL,89.0,2,21
014X27,1225.0,6215.004750261636,5.073473265519703,2.95275,612.5,3107.502375130818,1.1225320151336444,533.8656197958434,730.9356376366782,2.159,235.0,2590.65282914701,3.7465,990.0,3624.3519211146263,1.5875000000000004,1033.6990919676164,755.0,HORIZONTAL,1314.0,2,21
017EU1,3322.0,42622.57367468747,12.830395446925788,4.0798749999999995,830.5,10655.643418671867,1.926312036638924,541.2667241450066,9049.258363327268,2.159,283.0,1911.0219220422575,6.604,1501.0,23292.392737588667,4.445,21381.37081554641,1218.0,DIRECIONAL,307.0,4,4321
019KOZ,1005.0,4595.900173849193,4.573034998854919,2.4130000000000003,1005.0,4595.900173849193,0.0,0.0,0.0,2.4130000000000003,1005.0,4595.900173849193,2.4130000000000003,1005.0,4595.900173849193,0.0,0.0,0.0,HORIZONTAL,1547.0,1,1
01A9SM,57.0,1155.2930523422947,20.268299163899908,5.08,57.0,1155.2930523422947,0.0,0.0,0.0,5.08,57.0,1155.2930523422947,5.08,57.0,1155.2930523422947,0.0,0.0,0.0,0,0.0,1,1
01MVWL,2471.0,18776.824700706893,7.598876851763211,3.2384999999999997,823.6666666666666,6258.941566902297,1.1482794738215956,823.5061222197035,6357.650059573233,2.159,2.0,15.207558216413652,4.445,1649.0,12724.691568835915,2.2860000000000005,12709.4840106195,1647.0,DIRECIONAL,1120.0,3,321
01UR62,2825.5,68841.18500268676,24.364248806472045,5.397499999999999,565.1,13768.237000537352,3.3858066616391427,693.9196783490147,15757.679951644606,2.159,0.0,0.0,10.668,1543.0,36164.76673474494,8.509,36164.76673474494,1543.0,DIRECIONAL,2132.0,5,54321
01YQ49,1998.0,24466.427632814077,12.245459275682721,4.85775,999.0,12233.213816407038,2.4695704332940176,920.6530291048849,442.6795506174669,3.1115,348.0,11920.192104272815,6.604,1650.0,12546.235528541263,3.4925,626.0434242684478,1302.0,DIRECIONAL,919.0,2,21
022IMC,2338.0,26827.101771807458,11.474380569635354,5.566833333333334,779.3333333333334,8942.367257269152,3.1688557214447823,695.1297241043095,6020.585496643088,3.1115,34.0,2232.755835895214,9.144,1410.0,13873.017393340619,6.032500000000001,11640.261557445405,1376.0,VERTICAL,1568.0,3,321
